Name,Composer
After Midnight,Clapton/J. J. Cale
Badge,Clapton/Harrison
Bell Bottom Blues,Clapton
Cocaine,Cale/Clapton
Crossroads,Clapton/Robert Johnson Arr: Eric Clapton
