name,event,time
Ronin,left,2021-02-04 19:38:41.669000+00:00
Jamya,left,2021-02-04 19:38:41.875000+00:00
Jasmin,left,2021-02-04 19:39:08.255000+00:00
Haven,left,2021-02-04 19:40:35.423000+00:00
Kathy,left,2021-02-04 19:40:36.542000+00:00
Preston,left,2021-02-04 19:41:14.275000+00:00
Ariana,left,2021-02-04 19:41:39.337000+00:00
Muhammad,left,2021-02-04 19:44:54.092000+00:00
Jagger,left,2021-02-04 19:45:37.803000+00:00
Abram,left,2021-02-04 20:00:02.325000+00:00
Jamya,joined,2021-02-04 20:09:41.073000+00:00
Easton,left,2021-02-04 20:12:51.736000+00:00
Preston,joined,2021-02-04 20:30:01.755000+00:00
Preston,left,2021-02-04 20:32:07.313000+00:00
Konner,left,2021-02-04 21:31:48.231000+00:00
Jamya,left,2021-02-04 22:00:37.602000+00:00
Abagail,left,2021-02-04 23:16:23.646000+00:00
Dashawn,joined,2021-02-04 23:44:09.755000+00:00
Dashawn,left,2021-02-04 23:44:12.653000+00:00
Abagail,joined,2021-02-05 02:31:32.292000+00:00
Abagail,left,2021-02-05 02:33:32.076000+00:00
Abagail,joined,2021-02-05 06:07:37.337000+00:00
Abagail,left,2021-02-05 06:09:37.289000+00:00
Abagail,joined,2021-02-05 11:15:39.261000+00:00
Abagail,left,2021-02-05 11:17:42.823000+00:00
Abagail,joined,2021-02-05 12:34:08.526000+00:00
Abagail,left,2021-02-05 18:58:11.080000+00:00
Abagail,joined,2021-02-05 19:02:05.659000+00:00
Abagail,left,2021-02-05 19:04:05.480000+00:00
Abagail,joined,2021-02-05 21:46:04.322000+00:00
Abagail,left,2021-02-05 21:48:04.174000+00:00
Abagail,joined,2021-02-06 01:22:09.189000+00:00
Abagail,left,2021-02-06 01:24:09.117000+00:00
Abagail,joined,2021-02-06 01:44:14.554000+00:00
Abagail,left,2021-02-06 04:09:24.595000+00:00
Abagail,joined,2021-02-06 04:25:02.412000+00:00
Abagail,left,2021-02-06 04:44:21.056000+00:00
Abagail,joined,2021-02-06 07:40:47.437000+00:00
Abagail,left,2021-02-06 07:42:54.006000+00:00
Abagail,joined,2021-02-06 13:04:51.042000+00:00
Abagail,left,2021-02-06 13:06:50.942000+00:00
Abagail,joined,2021-02-06 13:29:39.860000+00:00
Abagail,left,2021-02-06 16:01:57.748000+00:00
Ariana,joined,2021-02-06 17:14:53.558000+00:00
Ariana,left,2021-02-06 17:14:55.944000+00:00
Edward,joined,2021-02-08 18:24:05.065000+00:00
Edward,left,2021-02-08 18:24:22.911000+00:00
Jasmin,joined,2021-02-11 18:06:19.182000+00:00
Abagail,joined,2021-02-11 18:10:49+00:00
Lincoln,joined,2021-02-11 18:30:58.415000+00:00
Easton,joined,2021-02-11 18:31:01.193000+00:00
Lincoln,left,2021-02-11 18:31:02.223000+00:00
Melina,joined,2021-02-11 18:31:04.776000+00:00
Marlon,joined,2021-02-11 18:31:05.969000+00:00
Ariana,joined,2021-02-11 18:31:11.115000+00:00
Konner,joined,2021-02-11 18:31:21.988000+00:00
Omar,joined,2021-02-11 18:31:22.270000+00:00
Preston,joined,2021-02-11 18:31:23.879000+00:00
Dashawn,joined,2021-02-11 18:31:36.318000+00:00
Augustus,joined,2021-02-11 18:31:48.771000+00:00
Kathy,joined,2021-02-11 18:31:59.859000+00:00
Augustus,left,2021-02-11 18:32:05.963000+00:00
Augustus,joined,2021-02-11 18:32:10.298000+00:00
Edward,joined,2021-02-11 18:32:18.408000+00:00
Augustus,left,2021-02-11 18:32:28.393000+00:00
Haven,joined,2021-02-11 18:32:37.535000+00:00
Augustus,joined,2021-02-11 18:32:38.590000+00:00
Josephine,joined,2021-02-11 18:32:44.121000+00:00
Ashanti,joined,2021-02-11 18:32:53.506000+00:00
Jamya,joined,2021-02-11 18:32:57.736000+00:00
Abram,joined,2021-02-11 18:33:52.597000+00:00
Muhammad,joined,2021-02-11 18:33:55.813000+00:00
Benjamin,joined,2021-02-11 18:34:12.150000+00:00
Jamal,joined,2021-02-11 18:36:12.253000+00:00
Ashanti,left,2021-02-11 18:37:00.331000+00:00
Jamya,left,2021-02-11 18:40:51.960000+00:00
Jamya,joined,2021-02-11 18:41:20.243000+00:00
Iliana,joined,2021-02-11 18:41:41.080000+00:00
Jamya,left,2021-02-11 18:53:52.469000+00:00
Jamya,joined,2021-02-11 18:53:59.130000+00:00
Jamya,left,2021-02-11 18:54:19.305000+00:00
Jamya,joined,2021-02-11 18:54:23.392000+00:00
Jamya,left,2021-02-11 18:54:42.073000+00:00
Jamya,joined,2021-02-11 18:54:47.260000+00:00
Jamya,left,2021-02-11 18:54:59.602000+00:00
Jamya,joined,2021-02-11 18:55:10.895000+00:00
Jamya,left,2021-02-11 18:55:24.296000+00:00
Jamya,joined,2021-02-11 18:55:30.291000+00:00
Jamya,left,2021-02-11 18:56:40.281000+00:00
Jamya,joined,2021-02-11 18:56:45.598000+00:00
Jamya,left,2021-02-11 18:57:06.575000+00:00
Jamya,joined,2021-02-11 18:57:13.792000+00:00
Jamya,left,2021-02-11 18:57:42.176000+00:00
Jamya,joined,2021-02-11 18:57:44.835000+00:00
Jasmin,left,2021-02-11 18:58:36.042000+00:00
Jamya,left,2021-02-11 19:01:14.996000+00:00
Jamya,joined,2021-02-11 19:01:19.304000+00:00
Marlon,left,2021-02-11 19:18:13.449000+00:00
Augustus,left,2021-02-11 19:23:10.949000+00:00
Marlon,joined,2021-02-11 19:24:15.633000+00:00
Benjamin,left,2021-02-11 19:30:05.078000+00:00
Marlon,left,2021-02-11 19:30:42.577000+00:00
Melina,left,2021-02-11 19:30:48.184000+00:00
Melina,joined,2021-02-11 19:30:57.841000+00:00
Melina,left,2021-02-11 19:31:00.854000+00:00
Augustus,joined,2021-02-11 19:33:40.283000+00:00
Augustus,left,2021-02-11 19:34:09.232000+00:00
Josephine,left,2021-02-11 19:35:15.376000+00:00
Preston,left,2021-02-11 19:35:22.207000+00:00
Muhammad,left,2021-02-11 19:35:23.288000+00:00
Konner,left,2021-02-11 19:36:21.052000+00:00
Haven,left,2021-02-11 19:37:56.366000+00:00
Dashawn,left,2021-02-11 19:40:22.046000+00:00
Easton,left,2021-02-11 19:41:13.886000+00:00
Abram,left,2021-02-11 19:41:35.051000+00:00
Jasmin,joined,2021-02-11 19:44:33.114000+00:00
Jasmin,left,2021-02-11 19:45:03.852000+00:00
Ariana,left,2021-02-11 19:52:50.741000+00:00
Ashanti,joined,2021-02-11 19:56:20.050000+00:00
Ashanti,left,2021-02-11 19:56:30.229000+00:00
Kathy,left,2021-02-11 20:23:10.504000+00:00
Benjamin,joined,2021-02-11 20:28:46.691000+00:00
Benjamin,left,2021-02-11 20:30:46.549000+00:00
Edward,left,2021-02-11 20:38:18.095000+00:00
Edward,joined,2021-02-11 20:40:37.547000+00:00
Ashanti,joined,2021-02-11 20:52:06.732000+00:00
Ashanti,left,2021-02-11 20:54:52.944000+00:00
Jamal,left,2021-02-11 20:55:57.996000+00:00
Jamya,left,2021-02-11 21:07:53.077000+00:00
Omar,left,2021-02-11 21:08:57.020000+00:00
Benjamin,joined,2021-02-11 21:55:23.941000+00:00
Benjamin,left,2021-02-11 22:00:05.471000+00:00
Benjamin,joined,2021-02-11 22:24:27.052000+00:00
Benjamin,left,2021-02-11 22:26:26.997000+00:00
Marlon,joined,2021-02-12 00:11:00.045000+00:00
Marlon,left,2021-02-12 00:19:22.431000+00:00
Abagail,left,2021-02-12 03:48:46.333000+00:00
Iliana,left,2021-02-12 07:00:02.920000+00:00
Edward,left,2021-02-12 07:07:43.959000+00:00
Abagail,joined,2021-02-14 16:53:16.022000+00:00
Abagail,left,2021-02-14 17:12:34.717000+00:00
Omar,joined,2021-02-15 18:51:02.300000+00:00
Omar,left,2021-02-15 18:51:06.804000+00:00
Omar,joined,2021-02-15 19:42:15.467000+00:00
Edward,joined,2021-02-15 19:42:53.263000+00:00
Omar,left,2021-02-15 22:37:00.108000+00:00
Edward,left,2021-02-15 22:37:02.101000+00:00
Haven,joined,2021-02-16 17:41:56.831000+00:00
Ariana,joined,2021-02-16 17:42:29.395000+00:00
Haven,left,2021-02-16 17:45:58.912000+00:00
Ariana,left,2021-02-16 17:45:59.509000+00:00
Abagail,joined,2021-02-16 19:34:57.834000+00:00
Abagail,left,2021-02-16 19:56:17.746000+00:00
Konner,joined,2021-02-17 03:50:28.200000+00:00
Edward,joined,2021-02-17 04:02:19.026000+00:00
Omar,joined,2021-02-17 04:03:11.436000+00:00
Konner,left,2021-02-17 05:00:07.527000+00:00
Omar,left,2021-02-17 05:54:06.262000+00:00
Edward,left,2021-02-17 07:15:25.889000+00:00
Omar,joined,2021-02-17 22:00:38.838000+00:00
Jamya,joined,2021-02-17 22:00:48.595000+00:00
Omar,left,2021-02-17 22:31:19.351000+00:00
Jamya,left,2021-02-17 22:31:22.526000+00:00
Jasmin,joined,2021-02-18 19:14:46.146000+00:00
Preston,joined,2021-02-18 19:15:19.447000+00:00
Muhammad,joined,2021-02-18 19:15:22.530000+00:00
Jamya,joined,2021-02-18 19:15:25.263000+00:00
Abagail,joined,2021-02-18 19:15:32.530000+00:00
Vance,joined,2021-02-18 19:15:34.089000+00:00
Easton,joined,2021-02-18 19:15:35.163000+00:00
Abram,joined,2021-02-18 19:15:40.140000+00:00
Marlon,joined,2021-02-18 19:15:40.839000+00:00
Waylon,joined,2021-02-18 19:16:12.608000+00:00
Iliana,joined,2021-02-18 19:16:20.046000+00:00
Edward,joined,2021-02-18 19:16:24.529000+00:00
Ariana,joined,2021-02-18 19:16:29.133000+00:00
Dashawn,joined,2021-02-18 19:16:53.362000+00:00
Jamal,joined,2021-02-18 19:16:57.728000+00:00
Josephine,joined,2021-02-18 19:17:02.845000+00:00
Melina,joined,2021-02-18 19:17:11.051000+00:00
Haven,joined,2021-02-18 19:17:52.271000+00:00
Haven,left,2021-02-18 19:18:52.443000+00:00
Waylon,left,2021-02-18 19:29:29.673000+00:00
Muhammad,left,2021-02-18 19:31:09.557000+00:00
Melina,left,2021-02-18 19:32:50.955000+00:00
Iliana,left,2021-02-18 19:35:17.404000+00:00
Abram,left,2021-02-18 19:35:53.060000+00:00
Easton,left,2021-02-18 19:36:16.838000+00:00
Dashawn,left,2021-02-18 19:39:04.042000+00:00
Josephine,left,2021-02-18 19:39:23.191000+00:00
Ashanti,joined,2021-02-18 19:42:36.900000+00:00
Jasmin,left,2021-02-18 19:42:44.241000+00:00
Vance,left,2021-02-18 19:45:10.961000+00:00
Benjamin,joined,2021-02-18 19:45:56.178000+00:00
Marlon,left,2021-02-18 19:46:18.817000+00:00
Benjamin,left,2021-02-18 19:47:42.150000+00:00
Preston,left,2021-02-18 19:48:20.643000+00:00
Abagail,left,2021-02-18 19:55:41.564000+00:00
Ariana,left,2021-02-18 20:07:52.084000+00:00
Jamal,left,2021-02-18 20:16:25.026000+00:00
Jamal,joined,2021-02-18 20:16:26.989000+00:00
Augustus,joined,2021-02-18 20:20:05.008000+00:00
Jamal,left,2021-02-18 20:20:08.394000+00:00
Jamal,joined,2021-02-18 20:20:09.901000+00:00
Augustus,left,2021-02-18 20:20:13.081000+00:00
Ariana,joined,2021-02-18 20:21:00.322000+00:00
Jamal,left,2021-02-18 20:22:20.715000+00:00
Ariana,left,2021-02-18 20:23:17.372000+00:00
Ashanti,left,2021-02-18 20:29:46.124000+00:00
Jamal,joined,2021-02-18 20:30:15.587000+00:00
Jamal,left,2021-02-18 20:32:03.948000+00:00
Ariana,joined,2021-02-18 20:36:34.566000+00:00
Ariana,left,2021-02-18 21:09:15.622000+00:00
Jamal,joined,2021-02-18 21:36:03.316000+00:00
Jamal,left,2021-02-18 21:50:41.873000+00:00
Jamya,left,2021-02-18 22:45:41.026000+00:00
Jamya,joined,2021-02-18 22:45:55.141000+00:00
Jamya,left,2021-02-18 22:46:05.472000+00:00
Edward,left,2021-02-19 12:53:46.953000+00:00
Jasmin,joined,2021-02-23 18:42:17.668000+00:00
Dashawn,joined,2021-02-23 18:42:19.509000+00:00
Ariana,joined,2021-02-23 18:42:32.257000+00:00
Augustus,joined,2021-02-23 18:42:33.477000+00:00
Easton,joined,2021-02-23 18:42:43.172000+00:00
Preston,joined,2021-02-23 18:42:46.496000+00:00
Edward,joined,2021-02-23 18:42:59.979000+00:00
Josephine,joined,2021-02-23 18:43:13.060000+00:00
Abram,joined,2021-02-23 18:43:27.193000+00:00
Jamya,joined,2021-02-23 18:43:50.650000+00:00
Jamal,joined,2021-02-23 18:43:59.418000+00:00
Kathy,joined,2021-02-23 18:44:06.414000+00:00
Ashanti,joined,2021-02-23 18:44:21.829000+00:00
Marlon,joined,2021-02-23 18:44:42.892000+00:00
